t_ns,core,freq_khz
1785960961093973803,5,3594427
1785960961093973803,6,1893802
1785960961093973803,7,1344888
1785960961194300972,0,3700037
1785960961194300972,1,3648917
1785960961194300972,2,2686786
1785960961194300972,3,652931
1785960961194300972,4,3699063
1785960961194300972,5,3604819
1785960961194300972,6,971132
1785960961194300972,7,3625681
1785960961294652299,0,3642652
1785960961294652299,1,3642457
1785960961294652299,2,2715537
1785960961294652299,3,3642862
1785960961294652299,4,3687577
1785960961294652299,5,3699341
1785960961294652299,6,3285605
1785960961294652299,7,2738182
1785960961395028491,0,3400000
1785960961395028491,1,3400000
1785960961395028491,2,3236129
1785960961395028491,3,3212350
1785960961395028491,4,3399902
1785960961395028491,5,3400034
1785960961395028491,6,3154618
1785960961395028491,7,3248862
1785960961495397469,0,3700000
1785960961495397469,1,3700000
1785960961495397469,2,3700000
